OBJID
10049
10062
10159
10206
10215
10299
10346
10373
10374
10411
10442
10481
10518
10533
10549
10660
10676
10699
10823
10824
10949
10976
11023
11055
11061
11173
11220
11248
11387
11467
11477
11507
11614
11666
11735
11867
12123
12246
12271
12280
12301
12325
12390
12394
12484
12633
12655
12737
12745
12778
12803
12805
12863
12939
12943
12949
12956
12965
12983
13004
13035
13076
13081
13265
13319
13345
13361
13401
13406
13464
13518
13603
13646
13687
13696
13728
13779
13789
13813
13817
13833
13915
13987
14021
14114
14144
14179
14208
14224
14230
14240
14369
14376
14395
14414
14505
14532
14545
14599
14618
14653
14684
14692
14694
14784
14795
14805
14845
14871
14921
15080
15155
15187
15231
15422
15548
15571
15716
15802
15824
15857
15862
15947
15988
16051
16165
16168
16169
16171
16174
16188
16231
16340
16496
16503
16527
16534
16658
16672
16705
16792
16844
16911
16913
17141
17175
17209
17225
17235
17413
17431
17437
17443
17500
17512
17533
17555
17558
17648
17665
17824
17832
17860
17901
17954
18045
18101
18190
18216
18458
18567
18571
18615
18628
18669
18800
18878
18879
18892
18907
19023
19057
19109
19118
19161
19170
19258
19396
19404
19452
19459
19469
19546
19574
19587
19607
19783
19855
19938
19964
